"FECHA","Precipitacion","Maxima","Minima","Media"
01-01-2010,0,13.8,10,11.9
02-01-2010,0,11.9,8.6,10.25
03-01-2010,0.1,14.2,8.4,11.3
04-01-2010,15,12.2,9.3,10.75
05-01-2010,2.2,12.3,9.7,11
06-01-2010,0,11.2,6.3,8.75
07-01-2010,8.8,8.7,5.7,7.2
08-01-2010,0,9.5,5.3,7.4
09-01-2010,0,7.5,3.2,5.35
10-01-2010,0,7.4,1.7,4.55
11-01-2010,0,8.8,4.2,6.5
12-01-2010,4.5,9.5,3.9,6.7
13-01-2010,1.7,14,7.9,10.95
14-01-2010,0.1,15.4,8.6,12
19-01-2010,0.8,11.8,9.7,10.75
20-01-2010,0,14.2,11.2,12.7
21-01-2010,0,14.3,8.7,11.5
22-01-2010,0,13.5,8.2,10.85
23-01-2010,0,12.7,7.7,10.2
24-01-2010,1.3,13.9,10.4,12.15
25-01-2010,2.7,11.5,7.9,9.7
26-01-2010,0,12.6,5.8,9.2
27-01-2010,0,12.8,4.1,8.45
28-01-2010,0,11.5,4.2,7.85
29-01-2010,0,11.4,6,8.7
30-01-2010,0,13.8,8,10.9
31-01-2010,0.1,9.4,5.4,7.4
01-02-2010,0,10.3,4.6,7.45
02-02-2010,0,12.2,5.6,8.9
03-02-2010,0,13.2,6.4,9.8
04-02-2010,7.6,12.3,6.1,9.2
05-02-2010,0,16.8,10.5,13.65
06-02-2010,0,17.2,9.6,13.4
07-02-2010,0,14,8.8,11.4
08-02-2010,38.7,11.9,9,10.45
09-02-2010,6.4,9.9,7.3,8.6
10-02-2010,0,12.6,3.8,8.2
11-02-2010,0,7,2.8,4.9
12-02-2010,0,7.7,1.1,4.4
13-02-2010,8.3,7.2,3.1,5.15
14-02-2010,0,7,2.7,4.85
15-02-2010,6.9,7.8,2.9,5.35
16-02-2010,0.8,12.1,7.6,9.85
17-02-2010,0,14.3,11,12.65
18-02-2010,15.4,16.1,10.1,13.1
19-02-2010,22.3,15.4,6.9,11.15
20-02-2010,0,13.9,6.3,10.1
21-02-2010,1.3,12.8,6,9.4
22-02-2010,0,16.1,9.1,12.6
23-02-2010,0,19.2,12.7,15.95
24-02-2010,0,18.7,13,15.85
25-02-2010,0,18.7,12.1,15.4
26-02-2010,0,18.9,11.5,15.2
27-02-2010,0,14.1,10.1,12.1
28-02-2010,0,17.4,11.9,14.65
01-03-2010,0,18.4,9.4,13.9
02-03-2010,0.4,14.7,10.2,12.45
03-03-2010,12.1,12.9,10.3,11.6
04-03-2010,0.1,16.1,10.2,13.15
05-03-2010,0.1,13.1,10,11.55
06-03-2010,0,12.3,8,10.15
07-03-2010,13.8,10.2,5.8,8
08-03-2010,16.1,7,0.9,3.95
09-03-2010,0,10.5,4.2,7.35
10-03-2010,0,7.2,2.2,4.7
11-03-2010,0,9.1,2.8,5.95
12-03-2010,0,8.1,4.6,6.35
13-03-2010,0,11.9,5.4,8.65
14-03-2010,0,14.6,5.9,10.25
15-03-2010,0,13.2,6.8,10
16-03-2010,0,13.7,7.5,10.6
17-03-2010,0,14,7.3,10.65
18-03-2010,0,13.6,6.8,10.2
19-03-2010,0,15.1,9.9,12.5
20-03-2010,0,20.2,11.3,15.75
21-03-2010,13.6,19.4,12.6,16
22-03-2010,1.4,16.2,12.4,14.3
23-03-2010,0,17.1,12.6,14.85
24-03-2010,0,14.7,12.3,13.5
25-03-2010,0,15.2,12.9,14.05
26-03-2010,0,19.6,13.7,16.65
27-03-2010,0,20.2,13.5,16.85
28-03-2010,0,16.5,12.7,14.6
29-03-2010,0.2,14.6,10.8,12.7
30-03-2010,0,16.3,11,13.65
31-03-2010,0,18,11.2,14.6
01-04-2010,0,15.3,11,13.15
02-04-2010,0,16.7,10.4,13.55
03-04-2010,0,15.7,11,13.35
04-04-2010,8.2,14.8,10,12.4
05-04-2010,0,15.2,9.4,12.3
06-04-2010,0,15.4,10.2,12.8
07-04-2010,0.6,15,11.9,13.45
08-04-2010,0,15,11.3,13.15
09-04-2010,0,17.2,12.2,14.7
10-04-2010,0,18.8,11.4,15.1
11-04-2010,0,21,13.7,17.35
12-04-2010,0,14.6,10.3,12.45
13-04-2010,0,14.1,10.3,12.2
14-04-2010,0,15.25,10.4,12.825
15-04-2010,0,16.4,10.5,13.45
16-04-2010,0,17.5,13,15.25
17-04-2010,0,16.8,11.6,14.2
18-04-2010,0,16.6,12.8,14.7
19-04-2010,0,18.9,13.1,16
20-04-2010,0,17.3,13,15.15
21-04-2010,0,19.2,12.6,15.9
22-04-2010,0,16.7,14.4,15.55
23-04-2010,0,18.5,14.8,16.65
25-04-2010,0,19.5,14.9,17.2
27-04-2010,0,20,14.95,17.475
28-04-2010,0,20.5,15,17.75
30-04-2010,0,18,12,15
01-05-2010,0,19,11,15
02-05-2010,0,21,10,15.5
03-05-2010,42.3,16.7,9.4,13.05
04-05-2010,7,12.4,8.8,10.6
05-05-2010,4.2,18.4,9.5,13.95
06-05-2010,0,14.6,11,12.8
07-05-2010,6.4,16.1,12,14.05
08-05-2010,0,17.25,13.35,15.3
11-05-2010,0.2,17.23,12.08,14.65
12-05-2010,0.4,18.4,14.7,16.55
15-05-2010,0.7,17.2,10.8,14
16-05-2010,0,18.1,11.6,14.85
17-05-2010,0,17.9,12.2,15.05
18-05-2010,0,20.4,13.8,17.1
19-05-2010,0,19.2,14.8,17
20-05-2010,0,20.4,14.8,17.6
21-05-2010,0,20.6,15.8,18.2
22-05-2010,0.3,23.1,17,20.05
23-05-2010,0,20.8,15.6,18.2
24-05-2010,0,23.4,16.3,19.85
25-05-2010,0,22.4,16.6,19.5
26-05-2010,0,21.9,16.3,19.1
27-05-2010,0.1,21.3,17.2,19.25
28-05-2010,0,21.9,18.3,20.1
29-05-2010,0,21.9,18.5,20.2
30-05-2010,0,22.6,17.3,19.95
31-05-2010,0,25.4,18.7,22.05
01-06-2010,0,22.5,19.4,20.95
02-06-2010,0,22.9,18.8,20.85
03-06-2010,0,22.3,18.1,20.2
04-06-2010,0,22.6,18.5,20.55
05-06-2010,0,24.6,19,21.8
06-06-2010,1.5,22.7,18.9,20.8
07-06-2010,0,22.7,18.9,20.8
08-06-2010,0,22.9,19,20.95
11-06-2010,1.1,22.95,17.75,20.35
12-06-2010,0,23,16.5,19.75
13-06-2010,0,23.1,18,20.55
14-06-2010,4.4,22.4,16.9,19.65
15-06-2010,0.1,20.5,15.8,18.15
16-06-2010,0,21.5,16.6,19.05
17-06-2010,0,21.3,16.1,18.7
18-06-2010,0,24.8,18.3,21.55
19-06-2010,0.8,22.2,18.1,20.15
20-06-2010,0,21,17.2,19.1
21-06-2010,0,21.4,15.9,18.65
22-06-2010,0,21.9,16.3,19.1
23-06-2010,0,23.1,17.8,20.45
24-06-2010,0,22.5,18.9,20.7
25-06-2010,0,23.8,18.8,21.3
26-06-2010,0,26.4,20.1,23.25
27-06-2010,0,25.4,21,23.2
28-06-2010,0,27.3,22.3,24.8
29-06-2010,0,25.9,22.1,24
30-06-2010,0,27.3,22.3,24.8
01-07-2010,0,28.2,21.7,24.95
02-07-2010,0,26,21.9,23.95
03-07-2010,0,26.5,21.7,24.1
04-07-2010,0,28.9,22.7,25.8
05-07-2010,0,28.1,22.9,25.5
06-07-2010,0,27.3,23.1,25.2
07-07-2010,0,27.4,23.5,25.45
08-07-2010,0,26.8,23.1,24.95
09-07-2010,0,28.4,23.9,26.15
10-07-2010,0,26.9,23.4,25.15
11-07-2010,0,28.2,22.6,25.4
12-07-2010,0,29.8,23.8,26.8
13-07-2010,0,28.9,22.6,25.75
14-07-2010,0,28.4,24.2,26.3
15-07-2010,0,27.5,23.4,25.45
16-07-2010,0,27.9,23,25.45
17-07-2010,0,29.1,24,26.55
18-07-2010,0,26.7,24.1,25.4
19-07-2010,0,28,24,26
20-07-2010,0,27.8,24.6,26.2
21-07-2010,0,29.9,24.8,27.35
22-07-2010,0,25.8,23.9,24.85
23-07-2010,0,27.2,23.1,25.15
24-07-2010,0,25.5,22,23.75
25-07-2010,0,26.7,22.5,24.6
26-07-2010,0,26.5,22.5,24.5
27-07-2010,0,28.7,23.7,26.2
28-07-2010,0,28.5,24.2,26.35
29-07-2010,10,27.3,22.6,24.95
30-07-2010,0,25.4,20.8,23.1
31-07-2010,0,28,23.7,25.85
01-08-2010,0.4,26.7,24,25.35
02-08-2010,0.3,27.4,20.9,24.15
03-08-2010,0,26.8,20.9,23.85
04-08-2010,0,26.2,21.7,23.95
05-08-2010,0,25.7,22.5,24.1
06-08-2010,0,24.9,21.3,23.1
07-08-2010,0,27.1,21.8,24.45
08-08-2010,0,27.9,23.3,25.6
09-08-2010,0,28.3,24.1,26.2
10-08-2010,0,27,23.5,25.25
11-08-2010,0,27.6,23.6,25.6
12-08-2010,5.9,27.8,19.7,23.75
13-08-2010,19.7,24.7,20.7,22.7
14-08-2010,0,23.8,17.2,20.5
15-08-2010,0,25.5,19.3,22.4
16-08-2010,0,24.6,20.2,22.4
17-08-2010,0,26.5,21.7,24.1
18-08-2010,0,27.4,23,25.2
19-08-2010,7,26.8,21.9,24.35
20-08-2010,0,28.9,21.8,25.35
21-08-2010,0,32.1,23.8,27.95
22-08-2010,0,31.2,25,28.1
23-08-2010,0,27.7,24.1,25.9
24-08-2010,0,28,23.5,25.75
25-08-2010,0,27.2,23.8,25.5
26-08-2010,0,29,24.6,26.8
27-08-2010,0,27,23,25
28-08-2010,0,28,24,26
29-08-2010,0,27,24,25.5
30-08-2010,0,26.1,23.1,24.6
31-08-2010,0,24.6,20.6,22.6
01-09-2010,0,25.3,21.4,23.35
02-09-2010,0,25.7,22.9,24.3
03-09-2010,0,27,22,24.5
04-09-2010,0,26.4,23.1,24.75
05-09-2010,0,27.1,22.5,24.8
06-09-2010,0.3,27,23.7,25.35
07-09-2010,0,26,22,24
08-09-2010,0,25,20.3,22.65
09-09-2010,0,24.9,18.9,21.9
10-09-2010,0,24.6,19.9,22.25
11-09-2010,0,26,20.3,23.15
12-09-2010,0,25.9,20.6,23.25
13-09-2010,0,26,20.7,23.35
14-09-2010,0,25.6,21,23.3
15-09-2010,0,27.3,21.4,24.35
16-09-2010,11.9,27.3,21.7,24.5
17-09-2010,0,24.6,18,21.3
22-09-2010,0,24.7,17.9,21.3
23-09-2010,3.6,23,17,20
24-09-2010,1.7,25.5,19,22.25
25-09-2010,0,23.6,17.5,20.55
26-09-2010,0.1,21.2,15.9,18.55
27-09-2010,0,20.8,16,18.4
28-09-2010,0,21.4,15.6,18.5
30-09-2010,0,21,16,18.5
01-10-2010,0,22.8,18.9,20.85
02-10-2010,0,24.4,18.3,21.35
03-10-2010,0.1,25.1,19.1,22.1
04-10-2010,0,24.7,19.7,22.2
05-10-2010,0,24.6,17.5,21.05
06-10-2010,0,23.9,16.2,20.05
07-10-2010,0,22.7,19.8,21.25
08-10-2010,0,23.7,21.3,22.5
09-10-2010,0,23,19.35,21.175
10-10-2010,2.4,22.3,17.4,19.85
11-10-2010,14.6,21.1,17.1,19.1
12-10-2010,2.6,19.1,17.1,18.1
13-10-2010,0.3,19.8,17,18.4
14-10-2010,0,19.7,15.6,17.65
15-10-2010,0,20.2,14.2,17.2
16-10-2010,0,20.1,13.1,16.6
17-10-2010,0,20.5,11.9,16.2
18-10-2010,0,17.4,11.5,14.45
19-10-2010,0,18.1,11.3,14.7
20-10-2010,0,19.3,10.8,15.05
21-10-2010,0,18.2,13.4,15.8
22-10-2010,0,20.3,12.3,16.3
23-10-2010,0,20.9,14.7,17.8
24-10-2010,0,21.3,15.2,18.25
25-10-2010,0,17.9,12.5,15.2
26-10-2010,0,18.7,10.4,14.55
27-10-2010,0,20.5,9.1,14.8
28-10-2010,0,20.2,11.3,15.75
29-10-2010,0,20.5,10.9,15.7
30-10-2010,4.5,20.2,16.5,18.35
31-10-2010,0.5,20.5,14.6,17.55
01-11-2010,0,18,13.4,15.7
02-11-2010,0,23.1,15,19.05
03-11-2010,0,21.8,14.2,18
04-11-2010,0,21.5,13,17.25
05-11-2010,0,20.1,14,17.05
